,match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent,pemain
25,Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,4/6/21,CF,95,63,42,67,0,0,4,2,50,5,37,33,89,0,0,0,0,0,0,5,2,40,10,4,40,0,0,0,1,5,1,20,3,2,67,benzema
26,Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,3/16/21,CF,95,75,49,65,1,0,4,2,50,12,44,40,91,0,0,0,0,0,0,2,1,50,20,7,35,3,1,33,2,9,4,44,4,3,75,benzema
27,Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,2023-05-17 00:00:00,AMF,64,56,34,61,0,0,0,0,0,0,33,27,82,1,1,100,0,0,0,1,0,0,12,4,33,2,1,50,1,7,2,29,2,0,0,modric
28,Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,2023-05-09 00:00:00,LCMF3,89,67,47,70,0,0,0,0,0,0,45,41,91,4,2,50,2,1,50,3,2,67,9,3,33,0,0,0,6,8,2,25,9,4,44,modric
29,Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,2023-04-18 00:00:00,"LCMF3, RCMF3",95,80,56,70,0,0,1,1,100,5,55,48,87,3,1,33,2,2,100,3,2,67,9,5,56,1,0,0,0,6,4,67,5,2,40,modric
30,Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,2023-04-12 00:00:00,LCMF3,81,106,81,76,0,0,1,0,0,19,74,70,95,0,0,0,2,1,50,5,3,60,19,8,42,0,0,0,1,4,0,0,2,2,100,modric
31,Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,2023-03-15 00:00:00,RCMF3,84,64,52,81,0,0,1,0,0,9,49,46,94,2,2,100,2,1,50,2,1,50,7,5,71,0,0,0,1,4,3,75,3,0,0,modric
32,Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2023-02-21 00:00:00,"LCMF3, RCMF3",89,82,61,74,0,1,0,0,0,0,56,49,88,3,2,67,1,0,0,2,2,100,10,10,100,3,3,100,3,6,4,67,6,0,0,modric
33,Real Madrid - Celtic 5:1,Europe. UEFA Champions League,2022-11-02 00:00:00,LCMF,67,87,72,83,1,0,1,1,100,76,75,67,89,8,5,63,1,1,100,1,0,0,6,3,50,1,1,100,2,7,2,29,4,2,50,modric
34,Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,2022-10-11 00:00:00,LCMF,44,40,33,83,0,0,0,0,0,0,35,30,86,3,2,67,3,2,67,2,2,100,5,3,60,0,0,0,0,6,0,0,1,1,100,modric
35,Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,2022-09-14 00:00:00,"LCMF, RCMF",81,74,52,70,0,0,1,0,0,6,49,46,94,4,3,75,0,0,0,3,1,33,13,6,46,1,1,100,5,7,2,29,5,4,80,modric
36,Celtic - Real Madrid 0:3,Europe. UEFA Champions League,2022-09-06 00:00:00,RCMF3,81,107,90,84,1,0,2,1,50,18,89,84,94,10,8,80,1,0,0,2,1,50,7,4,57,3,2,67,3,8,2,25,9,6,67,modric
37,Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,2022-05-28 00:00:00,RCMF3,93,78,54,69,0,0,0,0,0,0,55,48,87,6,4,67,0,0,0,1,0,0,12,5,42,5,2,40,0,11,5,45,4,2,50,modric
38,Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,2022-05-04 00:00:00,AMF,77,60,40,67,0,0,1,0,0,13,39,35,90,5,4,80,1,1,100,1,1,100,9,4,44,0,0,0,0,5,3,60,2,0,0,modric
39,Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,2022-04-26 00:00:00,"AMF, LCMF3",80,51,38,75,0,0,1,0,0,3,34,30,88,1,1,100,0,0,0,3,2,67,11,6,55,3,2,67,2,5,3,60,7,5,71,modric
40,Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,2022-04-12 00:00:00,"DMF, LCMF, RCMF, RCMF3",128,116,86,74,0,1,1,1,100,4,64,56,88,6,3,50,1,0,0,3,2,67,35,21,60,3,0,0,5,7,4,57,11,3,27,modric
41,Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,2022-04-06 00:00:00,RCMF3,97,81,54,67,0,1,0,0,0,0,52,43,83,1,0,0,2,1,50,1,0,0,17,7,41,1,0,0,2,12,6,50,6,1,17,modric
42,Real Madrid - PSG 3:1,Europe. UEFA Champions League,2022-03-09 00:00:00,LCMF3,96,96,76,79,0,1,2,1,50,13,62,57,92,8,7,88,0,0,0,4,4,100,18,12,67,0,0,0,2,6,1,17,8,4,50,modric
43,PSG - Real Madrid 1:0,Europe. UEFA Champions League,2022-02-15 00:00:00,RCMF3,82,75,55,73,0,0,0,0,0,0,52,48,92,3,2,67,0,0,0,2,2,100,12,7,58,0,0,0,5,8,6,75,4,0,0,modric
44,Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,2021-12-07 00:00:00,"LCMF3, RCMF",91,104,79,76,0,0,1,0,0,0,80,75,94,4,3,75,0,0,0,1,0,0,18,3,17,2,1,50,1,4,1,25,4,2,50,modric
45,Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,2021-11-24 00:00:00,RCMF3,96,94,77,82,0,0,0,0,0,0,72,66,92,8,6,75,0,0,0,3,2,67,14,8,57,0,0,0,4,10,2,20,7,6,86,modric
